Timestamp,What is your current class standing?,Are you a transfer student?,"What is your major/minor? (If your major is not listed, please write it in ""Other.."")",Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Interest in technology and problem-solving],Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Fascination with data analysis and decision-making],"Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Enjoyment of coding, programming, and building applications]",Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Strong job prospects and high earning potential],"Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Encouragement or advice from family members, mentors, or educators]",Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Pressure from family members],Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [One or more of my family members or friends work in this area],"Have you ever thought about changing your major? If so, what were the reasons? Choose all that apply.",What is your current cumulative GPA?,"Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Software Engineering]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Web Development]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Data Science]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Computer security and cryptography]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Databases]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Algorithms]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Game Development]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Networks]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Machine Learning, Data Mining, NLP, AI]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Computer Architecture]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Embedded systems]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Computer Graphics]",Around what time did you become interested in CS/DS?,Which of the following computer science programs or courses did you take during high school? Select all that apply.,Answer the following questions regarding CS/DS [I feel motivated to expand my CS/DS knowledge and skills beyond UCR’s core curriculum.],Answer the following questions regarding CS/DS [I feel satisfied with the CS/DS courses I have taken at UCR],Answer the following questions regarding CS/DS [I have a clear reason for choosing CS/DS as my major.],Answer the following questions regarding CS/DS [I have considered changing my major to something outside of CS/DS / I have considered no longer pursuing a minor in DS and other CS related majors / I have considered taking no more CS/DS classes in the future],Indicate how accurately the following statements about coding apply to you: [The code/programs I produce are exceptional],Indicate how accurately the following statements about coding apply to you: [I am very comfortable with programming/writing code.],Indicate how accurately the following statements about coding apply to you: [I enjoy coding in an academic setting.],Indicate how accurately the following statements about coding apply to you: [I enjoy coding outside of an academic setting.],Indicate how accurately the following statements about coding apply to you: [I often feel discouraged when coding.]
5/2/2025 22:01:17,Freshman,No,CS major,3,3,5,5,5,4,1,I realized I’m more passionate about another field.,2.67 – 3.0,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,Not applicable,2nd,High School,None of the above,4,4,4,1,2,3,4,3,5
5/3/2025 0:00:54,Junior,Yes,Physics,1,1,1,1,1,1,1,I realized I’m more passionate about another field.,3.67 – 4.0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,I'm not interested.,AP courses and/or exam,3,3,3,3,5,5,5,5,1
5/3/2025 20:08:24,Freshman,No,statistics ,3,3,2,3,1,1,1,"N/A, I have never thought about changing my major.",3.33 – 3.67,Not applicable,Not applicable,1st,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,4,4,4,4,4,4,5,4,5
5/3/2025 21:46:11,Junior,No,CS major,3,3,3,3,2,3,2,"N/A, I have never thought about changing my major.",3.67 – 4.0,1st,2nd,3rd,2nd,Not applicable,Not applicable,Not applicable,3rd,2nd,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,2,2,2,2,2,1,2,2,3
5/3/2025 22:02:58,Junior,No,Data Science major,2,3,2,2,2,2,3,"N/A, I have never thought about changing my major.",3.33 – 3.67,3rd,Not applicable,"1st, Not applicable",Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,College,None of the above,5,5,5,1,3,3,3,3,3
5/4/2025 23:01:03,Junior,No,CS major,5,1,5,2,3,4,1,"N/A, I have never thought about changing my major.",3.33 – 3.67,3rd,Not applicable,Not applicable,Not applicable,Not applicable,1st,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,High School,None of the above,5,5,5,1,2,4,5,5,4
5/5/2025 1:17:01,Senior,No,CS or DS minor,3,5,3,4,3,1,3,The current major isn’t meeting my career goals.,3.33 – 3.67,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,2nd,Not applicable,3rd,Not applicable,Not applicable,Not applicable,College,None of the above,4,2,4,2,3,4,4,5,4
5/5/2025 14:50:08,Senior,No,CEN or EE major,5,4,4,4,3,1,1,Finding I like CS more than EE.,3.67 – 4.0,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Not applicable,1st,Not applicable,Not applicable,Not applicable,High School,"PLTW courses and/or program, AP courses and/or exam",5,5,5,3,4,4,4,4,1
5/5/2025 17:18:07,Sophomore,No,CS major,5,1,5,2,1,1,1,"N/A, I have never thought about changing my major.",3.0 – 3.33,Not applicable,2nd,Not applicable,3rd,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Before Middle School,AP courses and/or exam,5,5,5,3,3,4,4,5,1
5/5/2025 17:20:18,Sophomore,No,Data Science major,3,2,3,5,3,3,4,"The current major isn’t meeting my career goals., I wanted a major that aligns better with my personal values or lifestyle.",3.0 – 3.33,2nd,Not applicable,1st,3rd,2nd,2nd,2nd,2nd,1st,3rd,3rd,3rd,College,AP courses and/or exam,4,4,4,2,2,2,3,4,4
5/5/2025 17:21:34,Sophomore,No,CS major,3,3,2,3,1,1,3,"N/A, I have never thought about changing my major.",3.67 – 4.0,1st,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Before Middle School,AP courses and/or exam,5,4,5,1,4,3,4,4,2
5/5/2025 17:26:53,Sophomore,No,CS major,3,3,5,4,4,1,1,"N/A, I have never thought about changing my major.",3.0 – 3.33,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,Not applicable,2nd,High School,"PLTW courses and/or program, AP courses and/or exam",4,2,4,3,4,4,4,4,2
5/5/2025 17:28:37,Sophomore,No,CS major,3,3,3,4,3,1,1,"I realized I’m more passionate about another field., I found the coursework too challenging or overwhelming., I wanted a major that aligns better with my personal values or lifestyle.",2.33 – 2.67,1st,3rd,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,High School,None of the above,4,4,2,3,2,2,2,4,4
5/5/2025 17:32:12,Sophomore,No,CS or DS minor,4,3,3,3,4,5,3,The current major isn’t meeting my career goals.,3.33 – 3.67,3rd,1st,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,College,None of the above,4,4,2,2,1,2,3,3,2
5/5/2025 17:54:31,Freshman,No,CS major,2,1,3,5,3,2,3,I found the coursework too challenging or overwhelming.,3.67 – 4.0,3rd,1st,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Middle School,AP courses and/or exam,4,2,2,4,3,2,1,2,4
5/5/2025 17:56:06,Freshman,No,CS major,5,5,5,4,4,2,2,I found the coursework too challenging or overwhelming.,3.67 – 4.0,Not applicable,Not applicable,3rd,1st,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,2,2,2,4,3,4,3,4,3
5/5/2025 18:02:56,Freshman,No,Robotic,4,4,5,4,5,2,1,I wanted a major that aligns better with my personal values or lifestyle.,3.0 – 3.33,1st,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Middle School,AP courses and/or exam,4,5,5,2,3,4,5,4,4
5/5/2025 18:04:31,Freshman,No,CS major,3,3,3,4,3,3,1,"N/A, I have never thought about changing my major.",3.33 – 3.67,1st,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,High School,"AP courses and/or exam, IB courses and/or exam",4,4,4,2,3,3,3,3,4
5/5/2025 18:05:33,Freshman,No,Robotics major,5,5,5,5,5,5,5,"N/A, I have never thought about changing my major.",3.33 – 3.67,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,1st,Not applicable,Not applicable,Not applicable,Before Middle School,AP courses and/or exam,5,4,5,1,4,4,5,5,3
5/5/2025 18:08:42,Sophomore,No,CS major,3,4,1,3,2,2,1,I wanted a major that aligns better with my personal values or lifestyle.,3.67 – 4.0,Not applicable,Not applicable,2nd,1st,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,College,"PLTW courses and/or program, AP courses and/or exam",5,4,1,4,1,2,5,4,5
5/5/2025 18:13:22,Freshman,No,CS major,4,3,5,5,2,1,1,"N/A, I have never thought about changing my major.",3.0 – 3.33,1st,1st,3rd,2nd,3rd,3rd,2nd,3rd,2nd,2nd,3rd,2nd,College,None of the above,5,4,4,1,3,4,4,4,2
5/5/2025 18:19:49,Sophomore,Yes,Data Science major,3,2,3,3,1,1,1,"N/A, I have never thought about changing my major.",3.67 – 4.0,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Before Middle School,None of the above,5,4,5,1,3,4,4,4,2
5/5/2025 18:20:37,Freshman,No,CS major,5,5,5,5,5,4,5,"N/A, I have never thought about changing my major.",3.33 – 3.67,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,3rd,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,5,5,5,3,3,3,3,5,2
5/5/2025 18:24:05,Sophomore,No,CS major,5,5,5,5,4,1,1,"I realized I’m more passionate about another field., I wanted a major that aligns better with my personal values or lifestyle.",3.33 – 3.67,Not applicable,Not applicable,Not applicable,3rd,Not applicable,2nd,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,Middle School,None of the above,5,5,5,3,5,5,5,3,2
5/5/2025 18:26:35,Freshman,No,CS major,5,5,5,5,1,1,1,I realized I’m more passionate about another field.,3.67 – 4.0,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,2nd,Middle School,None of the above,5,5,5,4,3,4,5,5,2
5/5/2025 18:30:28,Freshman,No,CS major,4,2,5,4,2,1,3,"N/A, I have never thought about changing my major.",3.33 – 3.67,2nd,Not applicable,Not applicable,3rd,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Before Middle School,None of the above,5,5,5,2,3,3,4,4,3
5/5/2025 18:33:45,Freshman,No,Data Science major,4,3,3,4,2,1,1,"N/A, I have never thought about changing my major.",3.33 – 3.67,2nd,Not applicable,1st,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Middle School,AP courses and/or exam,5,4,4,3,3,4,3,3,3
5/5/2025 18:34:22,Senior,No,Robotics,5,5,4,5,5,3,4,I wanted a major that aligns better with my personal values or lifestyle.,3.33 – 3.67,1st,2nd,2nd,3rd,1st,2nd,2nd,3rd,1st,2nd,2nd,3rd,College,AP courses and/or exam,3,3,3,3,4,3,4,4,3
5/5/2025 18:36:06,Freshman,No,CS major,4,4,4,5,5,5,3,"N/A, I have never thought about changing my major.",3.33 – 3.67,1st,2nd,3rd,2nd,2nd,2nd,1st,2nd,2nd,3rd,2nd,2nd,Before Middle School,AP courses and/or exam,4,4,4,2,3,3,3,4,2
5/5/2025 18:48:35,Freshman,No,CS major,5,4,3,5,4,4,2,"I realized I’m more passionate about another field., I found the coursework too challenging or overwhelming., I wanted a major that aligns better with my personal values or lifestyle.",Prefer not to say,1st,Not applicable,Not applicable,Not applicable,Not applicable,2nd,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Middle School,None of the above,5,4,4,2,3,3,3,3,2
5/5/2025 18:53:27,Sophomore,No,Business Administration  ,2,3,2,3,3,2,3,"I realized I’m more passionate about another field., The current major isn’t meeting my career goals., I wanted a major that aligns better with my personal values or lifestyle.",3.67 – 4.0,Not applicable,Not applicable,1st,Not applicable,3rd,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,5,4,5,2,3,3,3,3,3
5/5/2025 18:56:48,Freshman,No,CS major,4,4,4,4,4,1,4,I found the coursework too challenging or overwhelming.,3.67 – 4.0,Not applicable,1st,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,2nd,High School,None of the above,5,5,5,2,4,4,5,5,3
5/5/2025 19:00:43,Sophomore,No,CSBA major,4,3,2,5,2,2,4,I found the coursework too challenging or overwhelming.,3.33 – 3.67,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,"2nd, Not applicable",3rd,Not applicable,Not applicable,Not applicable,Not applicable,High School,None of the above,5,5,5,5,3,3,3,3,4
5/5/2025 19:03:28,Sophomore,No,CS or DS minor,4,1,1,5,4,1,1,"I found the coursework too challenging or overwhelming., I wanted a major that aligns better with my personal values or lifestyle.",3.67 – 4.0,Not applicable,1st,Not applicable,"3rd, Not applicable",Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,I'm not interested.,AP courses and/or exam,4,2,2,1,2,1,3,3,4
5/5/2025 19:07:57,Freshman,No,CS major,4,4,4,4,4,1,1,"N/A, I have never thought about changing my major., Not really but also Business sounded like a good option as I am interested in both CS and Business.",3.67 – 4.0,1st,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Middle School,AP courses and/or exam,5,5,5,3,4,4,5,5,1
5/5/2025 19:25:02,Freshman,No,CS major,4,3,3,4,4,2,4,"N/A, I have never thought about changing my major.",3.33 – 3.67,3rd,2nd,1st,Not applicable,3rd,Not applicable,3rd,3rd,3rd,Not applicable,2nd,3rd,High School,IB courses and/or exam,2,2,2,2,3,3,3,3,3
5/5/2025 19:25:42,Junior,No,CS major,5,4,4,4,4,1,5,"N/A, I have never thought about changing my major.",3.33 – 3.67,2nd,1st,2nd,1st,3rd,3rd,Not applicable,2nd,2nd,2nd,1st,1st,Middle School,AP courses and/or exam,4,5,5,3,3,4,5,4,4
5/5/2025 19:36:10,Junior,No,Statistics,1,1,1,1,1,1,1,"N/A, I have never thought about changing my major.",3.33 – 3.67,3rd,2nd,Not applicable,3rd,Not applicable,3rd,3rd,Not applicable,3rd,1st,Not applicable,2nd,Middle School,None of the above,4,5,5,1,2,3,4,4,3
5/5/2025 19:37:11,Freshman,No,CSBA major,1,1,1,5,3,1,4,"N/A, I have never thought about changing my major.",3.67 – 4.0,2nd,3rd,2nd,3rd,1st,1st,1st,1st,2nd,1st,1st,1st,High School,AP courses and/or exam,4,5,4,3,3,2,3,2,2
5/5/2025 19:38:12,Sophomore,No,Data Science major,2,2,2,1,2,2,1,"I found the coursework too challenging or overwhelming., The current major isn’t meeting my career goals.",3.33 – 3.67,1st,Not applicable,1st,Not applicable,Not applicable,Not applicable,2nd,Not applicable,1st,Not applicable,Not applicable,Not applicable,College,AP courses and/or exam,4,1,1,4,1,1,3,3,3
5/5/2025 19:42:32,Sophomore,No,CS major,4,3,5,5,5,1,1,I found the coursework too challenging or overwhelming.,3.33 – 3.67,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,1st,High School,AP courses and/or exam,4,5,4,1,3,3,4,2,3
5/5/2025 19:45:06,Sophomore,No,CEN or EE major,5,4,5,5,5,2,5,I found the coursework too challenging or overwhelming.,3.33 – 3.67,3rd,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,High School,AP courses and/or exam,4,5,5,1,4,4,4,4,4
5/5/2025 19:50:27,Sophomore,No,CS major,5,5,5,5,5,5,5,"N/A, I have never thought about changing my major.",3.0 – 3.33,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,1st,2nd,Not applicable,Not applicable,College,AP courses and/or exam,5,5,5,3,5,4,5,5,1
5/5/2025 19:54:29,Freshman,No,CS major,3,2,3,3,1,1,3,"I realized I’m more passionate about another field., The current major isn’t meeting my career goals.",2.0 – 2.33,2nd,2nd,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,Not applicable,1st,High School,None of the above,5,4,2,2,2,2,3,3,3
5/5/2025 19:55:17,Sophomore,No,CS major,5,3,4,4,4,1,4,"N/A, I have never thought about changing my major.",3.67 – 4.0,"2nd, Not applicable",Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,"1st, Not applicable",Not applicable,Not applicable,Not applicable,High School,"PLTW courses and/or program, AP courses and/or exam",5,4,4,1,3,3,4,4,4
5/5/2025 19:55:53,Freshman,No,CSBA major,3,2,5,4,1,1,1,"N/A, I have never thought about changing my major.",3.0 – 3.33,2nd,Not applicable,Not applicable,3rd,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,High School,"MESA program, AP courses and/or exam",4,4,5,1,3,2,4,5,3
5/5/2025 20:05:40,Freshman,No,CS major,4,3,4,4,1,1,1,"I found the coursework too challenging or overwhelming., The current major isn’t meeting my career goals.",3.33 – 3.67,1st,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,5,4,4,4,2,2,3,5,4
5/5/2025 20:09:34,Freshman,No,Data Science major,4,4,3,4,4,2,1,"N/A, I have never thought about changing my major.",3.67 – 4.0,3rd,Not applicable,1st,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,5,4,4,1,3,3,3,3,3
5/5/2025 20:11:54,Freshman,No,Robotics Engineering ,5,4,5,5,4,3,5,"N/A, I have never thought about changing my major.",3.33 – 3.67,Not applicable,Not applicable,Not applicable,3rd,Not applicable,2nd,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,Middle School,AP courses and/or exam,4,5,4,1,3,3,3,3,3
5/5/2025 20:23:21,Junior,No,CS major,5,5,5,5,5,5,5,Changed my major from bioeng to cs,3.67 – 4.0,2nd,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,Middle School,"AP courses and/or exam, IB courses and/or exam",5,5,5,5,3,5,4,4,4
5/5/2025 20:25:19,Freshman,No,CS major,5,4,4,5,5,3,1,"N/A, I have never thought about changing my major.",3.33 – 3.67,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Not applicable,3rd,High School,None of the above,4,5,2,2,3,4,4,4,3
5/5/2025 20:52:50,Sophomore,No,CEN or EE major,5,4,3,4,3,1,1,I found the coursework too challenging or overwhelming.,3.0 – 3.33,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,3rd,Not applicable,High School,AP courses and/or exam,4,4,4,4,2,2,1,4,4
5/5/2025 20:57:50,Junior,No,CS major,3,4,5,2,4,4,2,I found the coursework too challenging or overwhelming.,2.33 – 2.67,1st,2nd,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,High School,None of the above,4,4,4,5,3,2,3,3,4
5/5/2025 21:09:03,Freshman,No,CEN or EE major,4,3,2,3,1,1,1,I found the coursework too challenging or overwhelming.,3.33 – 3.67,1st,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,5,5,5,1,2,3,2,3,1
5/5/2025 21:09:38,Junior,No,CEN or EE major,5,4,4,4,4,4,4,"N/A, I have never thought about changing my major.",2.67 – 3.0,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,1st,Not applicable,Middle School,AP courses and/or exam,4,4,4,4,3,3,3,3,3
5/5/2025 21:09:53,Sophomore,No,CS major,5,5,4,3,2,2,1,"N/A, I have never thought about changing my major.",3.67 – 4.0,1st,Not applicable,2nd,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Middle School,AP courses and/or exam,5,4,5,3,3,4,3,5,1
5/5/2025 21:10:19,Freshman,No,CS major,4,2,5,4,3,1,2,"N/A, I have never thought about changing my major.",3.67 – 4.0,3rd,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,Before Middle School,AP courses and/or exam,4,2,5,1,2,2,2,2,2
5/5/2025 21:10:45,Freshman,No,CSBA major,4,5,4,3,3,3,1,"N/A, I have never thought about changing my major.",3.0 – 3.33,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,2nd,Not applicable,1st,Not applicable,Not applicable,Not applicable,Before Middle School,None of the above,5,4,4,2,3,4,5,4,4
5/5/2025 21:15:18,Freshman,No,CS major,5,4,5,3,1,1,1,"N/A, I have never thought about changing my major.",3.67 – 4.0,1st,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,High School,AP courses and/or exam,4,4,4,1,3,4,5,5,2
5/5/2025 21:16:50,Freshman,No,CS major,5,4,5,5,1,1,1,"N/A, I have never thought about changing my major.",3.33 – 3.67,2nd,1st,Not applicable,1st,3rd,3rd,"2nd, 3rd",2nd,1st,3rd,3rd,3rd,High School,None of the above,5,4,5,1,2,4,4,4,2
5/5/2025 21:16:59,Sophomore,No,CS major,3,3,3,3,3,3,3,"I realized I’m more passionate about another field., I found the coursework too challenging or overwhelming., The current major isn’t meeting my career goals., I wanted a major that aligns better with my personal values or lifestyle.",3.33 – 3.67,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,Not applicable,3rd,College,None of the above,5,5,5,5,5,4,4,5,4
5/5/2025 21:19:20,Freshman,No,Data Science major,4,4,3,4,4,3,3,"N/A, I have never thought about changing my major.",3.33 – 3.67,Not applicable,3rd,1st,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,5,2,4,3,3,3,3,4,4
5/5/2025 21:21:10,Freshman,No,CS major,4,3,4,3,4,2,4,"N/A, I have never thought about changing my major.",3.33 – 3.67,1st,2nd,3rd,1st,2nd,2nd,2nd,1st,1st,2nd,3rd,1st,High School,"PLTW courses and/or program, AP courses and/or exam",4,4,4,4,3,4,3,3,2
5/5/2025 21:23:47,Freshman,No,CS major,5,3,4,3,3,1,4,"N/A, I have never thought about changing my major.",3.33 – 3.67,2nd,1st,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Before Middle School,AP courses and/or exam,5,2,5,3,3,4,1,5,4
5/5/2025 21:32:20,Freshman,No,CS major,4,4,5,4,3,1,4,"N/A, I have never thought about changing my major.",3.67 – 4.0,1st,3rd,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,5,5,5,1,4,4,5,5,2
5/5/2025 21:36:17,Freshman,No,CSBA major,5,5,5,5,5,2,1,"I found the coursework too challenging or overwhelming., I wanted a major that aligns better with my personal values or lifestyle.",3.67 – 4.0,1st,2nd,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Middle School,"MESA program, AP courses and/or exam",5,4,4,4,1,2,4,3,4
5/5/2025 21:36:25,Sophomore,No,Robotics,3,3,4,4,3,2,1,"N/A, I have never thought about changing my major.",3.33 – 3.67,1st,2nd,3rd,3rd,2nd,2nd,1st,2nd,3rd,2nd,1st,1st,Middle School,None of the above,4,4,5,1,3,4,4,4,3
5/5/2025 21:38:02,Freshman,No,CSBA major,5,4,5,5,3,2,3,"N/A, I have never thought about changing my major.",3.67 – 4.0,2nd,1st,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Before Middle School,AP courses and/or exam,4,4,5,3,3,4,4,5,2
5/5/2025 21:38:42,Sophomore,No,Robotics ,5,5,3,4,3,2,4,"I realized I’m more passionate about another field., been more a physical engineer, CS is very different from that. I love physics and other felids more but robotics was what i was accepted for.",2.67 – 3.0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1st,2nd,Not applicable,3rd,High School,AP courses and/or exam,4,5,4,4,4,4,3,3,2
5/5/2025 21:44:39,Freshman,No,Robotics,3,2,4,4,4,3,2,"N/A, I have never thought about changing my major.",Prefer not to say,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Before Middle School,None of the above,4,4,4,4,2,3,2,3,4
5/5/2025 21:48:57,Freshman,No,CEN or EE major,5,4,5,2,2,2,1,I found the coursework too challenging or overwhelming.,3.67 – 4.0,1st,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,5,5,4,4,5,5,4,4,4
5/5/2025 21:52:00,Freshman,No,CS major,3,2,4,3,4,4,1,I wanted a major that aligns better with my personal values or lifestyle.,3.67 – 4.0,1st,Not applicable,Not applicable,2nd,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,4,5,4,5,3,3,3,3,4
5/5/2025 21:52:31,Freshman,No,CS major,5,4,5,2,1,1,1,"I realized I’m more passionate about another field., The current major isn’t meeting my career goals.",3.67 – 4.0,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,1st,Not applicable,Middle School,AP courses and/or exam,5,4,5,2,3,5,5,5,5
5/5/2025 21:56:38,Junior,No,CS or DS minor,4,4,3,4,5,1,3,"N/A, I have never thought about changing my major.",3.33 – 3.67,1st,2nd,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,College,None of the above,5,4,5,3,4,4,5,5,2
5/5/2025 22:05:11,Junior,Yes,CS major,5,4,4,4,4,2,2,"N/A, I have never thought about changing my major.",3.33 – 3.67,Not applicable,Not applicable,Not applicable,1st,Not applicable,2nd,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Before Middle School,AP courses and/or exam,4,4,5,1,4,4,4,4,2
